type,date,title,title_en,origin,link,image
video,2021.07.30,[VIP TALK] 지구의 마지막 1.5도를 지켜라! 빅데이터로 여는 에너지 대전환,,현대차 정몽구 재단,https://www.youtube.com/watch?v=Jbt5-MR8qOI&t=348s,https://i.ytimg.com/vi/Jbt5-MR8qOI/maxresdefault.jpg
article,2021.07.23,"소풍벤처스-신보, 소셜벤처 액셀러레이팅 프로그램 'NEST' 데모데이 개최",,Platum,https://platum.kr/archives/167443,https://platum.kr/wp-content/uploads/2021/07/soo-1024x498.png
article,2021.07.20,"경북테크노파크, 풍력에너지 클러스터 인재양성사업 참여기관 워크숍 성료",,중앙일보,https://news.joins.com/article/24109822,
video,2021.07.16,[2021 DATA-Stars 킥오프데이 인터뷰] 나인와트,,데이터 비즈니스 채널,https://www.youtube.com/watch?v=C0ZPY8ExgQc,https://i.ytimg.com/vi/C0ZPY8ExgQc/maxresdefault.jpg
article,2021.06.01,"데이터산업진흥원, 2021 데이터-스타즈 25곳 선정",,디지털타임스,http://www.dt.co.kr/contents.html?article_no=2021060102109931650010,https://wimg.dt.co.kr/news/legacy/contents/images/202106/2021060102109931650010.jpg
article,2021.05.28,"경북테크노파크, 산업부 '풍력에너지 클러스터 인재양성사업' 선정",,NSP통신,http://www.nspna.com/news/?mode=view&newsid=504690,https://file.nspna.com/news/2021/05/28/20210528133906_504690_1.jpg
article,2021.04.01,낭비 과잉이 환경파괴 주범으로...'착한 스타트업'이 뜬다,,헤럴드경제,http://biz.heraldcorp.com/view.php?ud=20210401000768,https://wimg.heraldcorp.com/content/default/2021/04/01/20210401000609_0.jpg
article,2021.03.30,그린 리더십' 선봉에 선 KB 윤종규…녹색금융이 미래 경쟁력,,인더뉴스,https://www.inthenews.co.kr/news/article.html?no=32205,https://www.inthenews.co.kr/data/photos/20210312/art_16165536112264_e946fd.jpg
article,2021.03.19,"KB금융, 육성 대상 스타트업 22개사 추가 선정",,연합뉴스,https://www.yna.co.kr/view/AKR20210319105800002,https://img2.yna.co.kr/etc/inner/KR/2021/03/19/AKR20210319105800002_01_i_P4.jpg
video,2021.01.26,[나인와트] 에너지맵,,Ninewatt,https://www.youtube.com/watch?v=0Z5M6tHGTPs,https://i.ytimg.com/vi/0Z5M6tHGTPs/maxresdefault.jpg
video,2021.01.15,나인와트 인포그래픽 홍보영상,,주노베이션,https://www.youtube.com/watch?v=-FRg9N4k4gY,https://i.ytimg.com/vi/-FRg9N4k4gY/maxresdefault.jpg
article,2020.12.30,"도시문제 해결사 나인와트, 건축물 에너지 건강검진 솔루션(energyMAP) 성과 주목",,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0015376870&code=61141411,https://image.kmib.co.kr/online_image/2020/1230/611414110015376870_1.jpg
video,2020.12.01,[BLUEPOINT DEMO DAY 7] 나인와트(Ninewatt),,블루포인트파트너스,https://www.youtube.com/watch?v=qWJc-XpKACQ,https://i.ytimg.com/vi/qWJc-XpKACQ/maxresdefault.jpg
article,2020.10.14,비행선박부터 액화수소 충전트럭까지…스타트업도 '녹색' 바람,,머니투데이,https://news.mt.co.kr/mtview.php?no=2020100713423412549,https://thumb.mt.co.kr/21/2020/10/2020100713423412549_1.jpg
video,2019.12.24,나인와트 홍보 동영상 (한국어),,Ninewatt,https://www.youtube.com/watch?v=ObMkTOVy2JE,https://i.ytimg.com/vi/ObMkTOVy2JE/maxresdefault.jpg
video,2019.12.24,Ninewatt Promotional Video (English),,Ninewatt,https://www.youtube.com/watch?v=yRAgjCPVtF0,https://i.ytimg.com/vi/yRAgjCPVtF0/hqdefault.jpg
article,2019.11.21,"한국사회투자, 네번째 임팩트투자 기업에 '나인와트' 선정",,전자신문,https://m.etnews.com/20191121000187,https://img.etnews.com/photonews/1911/1245787_20191121154525_303_0001.jpg
article,2019.11.17,인천 도시문제 해결 공공플랫폼 개발대회 수상자 10팀 선발,,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0013938144&code=61121111&cp=nv,https://image.kmib.co.kr/online_image/2019/1117/611211110013938144_1.jpg
article,2019.09.05,"대한민국 소프트웨어(SW) 융합 해커톤 대회서 인천 대표 나인와트, 유사모랩, 어덴저스 등 3개 팀 우수상",,경기일보,http://www.kyeonggi.com/news/articleView.html?idxno=2160278,https://ypzxxdrj8709.edge.naverncp.com/data2/content/image/2019/09/05/.cache/512/201909050949334.jpg
article,2019.04.12,"인천 스타트업이 전합니다 '웰컴투팁스', 나인와트 최우수상",,Venture Square,https://www.venturesquare.net/778514,https://www.venturesquare.net/wp-content/uploads/2019/04/welcometotips-02.jpg
article,2018.12.05,"소셜 정보방송 무알時報(15), '2018 공공데이터 창업경진대회 편, 나인와트 출연",,전자신문,https://m.etnews.com/20181205000089,https://img.etnews.com/photonews/1812/1135541_20181205112852_368_0001.jpg
article,2018.11.12,"'공공데이터, 창업미래 경쟁력 되다' 제6회 공공데이터활용 창업경진대회 왕중왕전 개최",,전자신문,https://m.etnews.com/20181112000522,https://img.etnews.com/news/article/2018/11/12/cms_temp_article_12183608529885.jpg
article,2018.11.08,"한국에너지공단, '에너지 벤처' 든든한 동반자로…시민창업대회 1만명 넘게 몰려",,매일경제,https://www.mk.co.kr/news/special-edition/view/2018/11/699270/,https://pimg.mk.co.kr/meet/neds/2018/11/image_readtop_2018_699270_15416173223523847.jpg
article,2018.09.10,"국토부, 부동산 서비스산업 창업 경진대회 '나인와트팀' 최우수상",,데일리안,https://www.dailian.co.kr/news/view/738252/?sc=naver,http://cdnimage.dailian.co.kr/news/201809/news_1536542613_738252_m_1.jpg
